species,family,Symbiont,incidence,method,n,ref,populations,comment
Pardosa pseudoannulata,Lycosidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pardosa laura,Lycosidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pardosa laura,Lycosidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pardosa laura,Lycosidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pirata tenuisetaceus,Lycosidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pirata tenuisetaceus,Lycosidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pirata tenuisetaceus,Lycosidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pirata piraticus,Lycosidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pirata piraticus,Lycosidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pirata piraticus,Lycosidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Arctosa kiangsiensis,Lycosidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Arctosa kiangsiensis,Lycosidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Arctosa kiangsiensis,Lycosidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Hylyphantes graminicola,Linyphiidae,Wolbachia,0.2,Directed PCR,10,(Jin et al. 2013),NA,NA
Hylyphantes graminicola,Linyphiidae,Cardinium,1,Directed PCR,10,(Jin et al. 2013),NA,NA
Hylyphantes graminicola,Linyphiidae,Spiroplasma,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Neriene radiata,Linyphiidae,Wolbachia,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Neriene radiata,Linyphiidae,Cardinium,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Neriene radiata,Linyphiidae,Spiroplasma,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Neriene longipedella,Linyphiidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Neriene longipedella,Linyphiidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Neriene longipedella,Linyphiidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Neriene japonica,Linyphiidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Neriene japonica,Linyphiidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Neriene japonica,Linyphiidae,Spiroplasma,0.07,Directed PCR,30,(Jin et al. 2013),NA,NA
Neriene oidedicata,Linyphiidae,Wolbachia,0,Directed PCR,20,(Jin et al. 2013),NA,NA
Neriene oidedicata,Linyphiidae,Cardinium,0,Directed PCR,20,(Jin et al. 2013),NA,NA
Neriene oidedicata,Linyphiidae,Spiroplasma,0,Directed PCR,20,(Jin et al. 2013),NA,NA
Neriene macella,Linyphiidae,Wolbachia,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Neriene macella,Linyphiidae,Cardinium,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Neriene macella,Linyphiidae,Spiroplasma,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Neriene zhui,Linyphiidae,Wolbachia,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Neriene zhui,Linyphiidae,Cardinium,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Neriene zhui,Linyphiidae,Spiroplasma,0,Directed PCR,10,(Jin et al. 2013),NA,NA
Prosoponoides sinensis,Linyphiidae,Wolbachia,0.13,Directed PCR,30,(Jin et al. 2013),NA,NA
Prosoponoides sinensis,Linyphiidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Prosoponoides sinensis,Linyphiidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Ummeliata insecticeps,Linyphiidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Ummeliata insecticeps,Linyphiidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Ummeliata insecticeps,Linyphiidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Neriene poculiforma,Linyphiidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Neriene poculiforma,Linyphiidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Neriene poculiforma,Linyphiidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Oxyopes javanus,Oxyopidae,Wolbachia,0.23,Directed PCR,30,(Jin et al. 2013),NA,NA
Oxyopes javanus,Oxyopidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Oxyopes javanus,Oxyopidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Oxyopes sertatus,Oxyopidae,Wolbachia,0.67,Directed PCR,30,(Jin et al. 2013),NA,NA
Oxyopes sertatus,Oxyopidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Oxyopes sertatus,Oxyopidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Crossopriza lyoni,Pholcidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Crossopriza lyoni,Pholcidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Crossopriza lyoni,Pholcidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pholcus affinis,Pholcidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pholcus affinis,Pholcidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Pholcus affinis,Pholcidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Ebrechtella tricuspidatus,Thomisidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Ebrechtella tricuspidatus,Thomisidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Ebrechtella tricuspidatus,Thomisidae,Spiroplasma,0.57,Directed PCR,30,(Jin et al. 2013),NA,NA
Tetragnatha praedonia,Tetragnathidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Tetragnatha praedonia,Tetragnathidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Tetragnatha praedonia,Tetragnathidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Coleosoma octomaculatum,Theridiidae,Wolbachia,0.1,Directed PCR,30,(Jin et al. 2013),NA,NA
Coleosoma octomaculatum,Theridiidae,Cardinium,0.13,Directed PCR,30,(Jin et al. 2013),NA,NA
Coleosoma octomaculatum,Theridiidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Uroctea lesserti,Urocteidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Uroctea lesserti,Urocteidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Uroctea lesserti,Urocteidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Dolomedes sulfureus,Pisauridae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Dolomedes sulfureus,Pisauridae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Dolomedes sulfureus,Pisauridae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Philodromus spinitarsis,Philodromidae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Philodromus spinitarsis,Philodromidae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Philodromus spinitarsis,Philodromidae,Spiroplasma,0.2,Directed PCR,30,(Jin et al. 2013),NA,NA
Philoponella alata,Uloboridae,Wolbachia,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Philoponella alata,Uloboridae,Cardinium,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Philoponella alata,Uloboridae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Nurscia albofasciata,Titanoecidae,Wolbachia,0.4,Directed PCR,30,(Jin et al. 2013),NA,NA
Nurscia albofasciata,Titanoecidae,Cardinium,0.23,Directed PCR,30,(Jin et al. 2013),NA,NA
Nurscia albofasciata,Titanoecidae,Spiroplasma,0,Directed PCR,30,(Jin et al. 2013),NA,NA
Draconarius wudangensis,Agelenidae,Wolbachia,0,Directed PCR,20,(Jin et al. 2013),NA,NA
Draconarius wudangensis,Agelenidae,Cardinium,0,Directed PCR,20,(Jin et al. 2013),NA,NA
Draconarius wudangensis,Agelenidae,Spiroplasma,0,Directed PCR,20,(Jin et al. 2013),NA,NA
Paracoelotes luctuosus,Agelenidae,Wolbachia,0,Directed PCR,20,(Jin et al. 2013),NA,NA
Paracoelotes luctuosus,Agelenidae,Cardinium,0,Directed PCR,20,(Jin et al. 2013),NA,NA
Paracoelotes luctuosus,Agelenidae,Spiroplasma,0,Directed PCR,20,(Jin et al. 2013),NA,NA
Oedothorax gibbosus,Linyphiidae,Wolbachia,0.45,Directed PCR,110,"(Vanthournout, Swaegers and Hendrickx 2011)",2 Belgium(2),No sex difference
Telema cucurbitina,Telemidae,Wolbachia,1,Directed PCR,68,(Wang et al. 2016),1 China,Actually several species in a complex
Telema cordata,Telemidae,Wolbachia,1,Directed PCR,16,(Wang et al. 2016),1 China,NA
Agelenopsis aperta,Agelenidae,Wolbachia,0.8,Directed PCR,83,(Baldo et al. 2008),12 California(4) NewMexico(1) Texas(3) Utah(1) Arizona(1) Colorado(1) Oklahoma(1),NA
Agelenopsis aleenae,Agelenidae,Wolbachia,0.75,Directed PCR,8,(Baldo et al. 2008),2 NewMexico(1) Kansas(1),NA
Agelenopsis emertoni,Agelenidae,Wolbachia,0.66,Directed PCR,3,(Baldo et al. 2008),Tennessee(1) Oklahoma(1),NA
Agelenopsis longistyla,Agelenidae,Wolbachia,1,Directed PCR,4,(Baldo et al. 2008),2 NewMexico(2),NA
Agelenopsisnaevia,Agelenidae,Wolbachia,1,Directed PCR,3,(Baldo et al. 2008),1 Texas,NA
Agelenopsis oklahoma,Agelenidae,Wolbachia,0.66,Directed PCR,6,(Baldo et al. 2008),1 Colorado,NA
Agelenopsis pennsylvanica,Agelenidae,Wolbachia,1,Directed PCR,5,(Baldo et al. 2008),3 Colorado(1) Kansas(1) Tennessee(1),NA
Agelenopsis utahana,Agelenidae,Wolbachia,0.29,Directed PCR,7,(Baldo et al. 2008),1 Utah,NA
Barronopsis texana,Agelenidae,Wolbachia,1,Directed PCR,2,(Baldo et al. 2008),1 Florida,NA
Agelenopsis spatula,Agelenidae,Wolbachia,0.4,Directed PCR,5,(Baldo et al. 2008),3  Texas(2) Oklahoma(1),NA
Cybaeus angustiarum,Cybaeidae,Cardinium,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 CzechRepublic,NA
Cybaeus angustiarum,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 CzechRepublic,NA
Cybaeus chauliodous,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus chauliodous,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus eutypus,Cybaeidae,Cardinium,1,Directed PCR,4,"(Perlman, Magnus and Copley 2010)",1 BritishColumbia,NA
Cybaeus eutypus,Cybaeidae,Wolbachia,1,Directed PCR,4,"(Perlman, Magnus and Copley 2010)",1 BritishColumbia,NA
Cybaeus gidneyi,Cybaeidae,Cardinium,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus gidneyi,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus giganteus,Cybaeidae,Cardinium,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 NorthCarolina,NA
Cybaeus giganteus,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 NorthCarolina,NA
Cybaeus hesper,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus hesper,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus morosus,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 BritishColumbia,NA
Cybaeus morosus,Cybaeidae,Wolbachia,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 BritishColumbia,NA
Cybaeus multnoma,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Oregon,NA
Cybaeus multnoma,Cybaeidae,Wolbachia,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Oregon,NA
Cybaeus paralypropriapus,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Oregon,NA
Cybaeus paralypropriapus,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Oregon,NA
Cybaeus patritus,Cybaeidae,Cardinium,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 tennessee,NA
Cybaeus patritus,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 tennessee,NA
Cybaeus penedentatus,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus penedentatus,Cybaeidae,Wolbachia,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus reticulatus,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 BritishColumbia,NA
Cybaeus reticulatus,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 BritishColumbia,NA
Cybaeus sanbruno,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus sanbruno,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus shoshoneus,Cybaeidae,Cardinium,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Washington,NA
Cybaeus shoshoneus,Cybaeidae,Wolbachia,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Washington,NA
Cybaeus signifer,Cybaeidae,Cardinium,0.96,Directed PCR,26,"(Perlman, Magnus and Copley 2010)",1 BritishColumbia,NA
Cybaeus signifer,Cybaeidae,Wolbachia,0.88,Directed PCR,26,"(Perlman, Magnus and Copley 2010)",1 BritishColumbia,NA
Cybaeus somesbar,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus somesbar,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus tetricus,Cybaeidae,Cardinium,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Slovenia,NA
Cybaeus tetricus,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Slovenia,NA
Cybaeus thermydrinos,Cybaeidae,Cardinium,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus thermydrinos,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus vulpinus,Cybaeidae,Cardinium,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus vulpinus,Cybaeidae,Wolbachia,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeus waynei,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Oregon,NA
Cybaeus waynei,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 Oregon,NA
Cybaeota nana,Cybaeidae,Cardinium,1,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Cybaeota nana,Cybaeidae,Wolbachia,0,Directed PCR,1,"(Perlman, Magnus and Copley 2010)",1 California,NA
Hylyphantes Graminicola,Linyphiidae,Wolbachia,0.2,Directed PCR,560,(Yun et al. 2011),11 China(11),Variation between populations
Larinioides cornuta,Araneidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Araneus alternidens,Araneidae,Wolbachia,0.27,Directed PCR,30,(Yan et al. 2015),1 China,NA
Araneus ventricosus,Araneidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Argiope amoena,Araneidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Clubiona japonicola,Clubionidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Clubiona deletrix,Clubionidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Nephila clavata,Nephilidae,Wolbachia,1,Directed PCR,30,(Yan et al. 2015),1 China,NA
Pardosa astrigera ,Lycosidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Pardosa pseudoannulata ,Lycosidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Pardosa laura ,Lycosidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Arctosa kiangsiensis,Lycosidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Hylyphantes graminicola,Linyphiidae,Wolbachia,0.6,Directed PCR,30,(Yan et al. 2015),1 China,NA
Neriene japonica ,Linyphiidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Neriene oidedicata ,Linyphiidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Prosoponoides sinensis ,Linyphiidae,Wolbachia,0.1,Directed PCR,10,(Yan et al. 2015),1 China,NA
Ummeliata insecticeps,Linyphiidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Erigone prominens,Linyphiidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Oxyopes lineatipes,Oxyopidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Pholcus crypticolens,Pholcidae,Wolbachia,0.53,Directed PCR,30,(Yan et al. 2015),1 China,NA
Ebrechtella tricuspidatus,Thomisidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Tetragnatha praedonia ,Tetragnathidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Tetragnatha shikokiana ,Tetragnathidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Tetragnatha squamata,Tetragnathidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Uroctea lesserti,Urocteidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Coleosoma octomaculatum ,Theridiidae,Wolbachia,0.37,Directed PCR,30,(Yan et al. 2015),1 China,NA
Achaearanea tepidariorum,Theridiidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Oecobius cellariorum,Oecobiidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Philodromus spinitarsis,Philodromidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Philoponella alata,Uloboridae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Nurscia albofasciata,Titanoecidae,Wolbachia,0.47,Directed PCR,30,(Yan et al. 2015),1 China,NA
Agelena labyrinthica,Agelenidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Marpiss magister,Salticidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Plexippus paykulli,Salticidae,Wolbachia,0,Directed PCR,30,(Yan et al. 2015),1 China,NA
Araneus sp.,Araneidae,Wolbachia,1,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Larina tabida,Araneidae,Wolbachia,1,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Poecilopachys australasiae,Araneidae,Wolbachia,1,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Argiope keyserlingi,Araneidae,Wolbachia,0,Directed PCR,2,"(Rowley, Raven and McGraw 2004)",2 Australia(2),NA
Cyrtophora moluccensis,Araneidae,Wolbachia,0,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Eriophora transmarina,Araneidae,Wolbachia,0,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Dolophones spp.,Araneidae,Wolbachia,0,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Deinopis subrufa,Deinopidae,Wolbachia,0,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Badumna longinqua,Desidae,Wolbachia,1,Directed PCR,2,"(Rowley, Raven and McGraw 2004)",2 Australia(2),NA
Cheiracanthium spp.,Miturgidae,Wolbachia,0,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Pholcus phalangioides,Pholcidae,Wolbachia,1,Directed PCR,2,"(Rowley, Raven and McGraw 2004)",2 Australia(2),NA
Holoplatys sp.,Salticidae,Wolbachia,1,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Leucauge dromedaria,Tetragnathidae,Wolbachia,1,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Nephila plumipes,Tetragnathidae,Wolbachia,1,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Phonognatha graeffei,Tetragnathidae,Wolbachia,0,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Latrodectus hasseltii,Theridiidae,Wolbachia,0,Directed PCR,2,"(Rowley, Raven and McGraw 2004)",2 Australia(2),NA
Argyrodes antipodianus,Theridiidae,Wolbachia,0,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Diaea sp.,Thomisidae,Wolbachia,1,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Diaea circumlita,Thomisidae,Wolbachia,1,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Zosis geniculatus,Uloboridae,Wolbachia,1,Directed PCR,1,"(Rowley, Raven and McGraw 2004)",1 Australia,NA
Agyneta semipallida,Linyphiidae,Cardinium,0,Directed PCR,1,(White et al. 2019),1 Kentucky,NA
Agyneta semipallida,Linyphiidae,Wolbachia,0,Directed PCR,1,(White et al. 2019),1 Kentucky,NA
Agyneta semipallida,Linyphiidae,Rickettsia,0,Directed PCR,1,(White et al. 2019),1 Kentucky,NA
Agyneta serrata,Linyphiidae,Cardinium,0,Directed PCR,16,(White et al. 2019),1 Kentucky,NA
Agyneta serrata,Linyphiidae,Wolbachia,0,Directed PCR,16,(White et al. 2019),1 Kentucky,NA
Agyneta serrata,Linyphiidae,Rickettsia,0,Directed PCR,16,(White et al. 2019),1 Kentucky,NA
Agyneta unimaculata,Linyphiidae,Cardinium,0.2,Directed PCR,5,(White et al. 2019),1 Kentucky,NA
Agyneta unimaculata,Linyphiidae,Wolbachia,0,Directed PCR,5,(White et al. 2019),1 Kentucky,NA
Agyneta unimaculata,Linyphiidae,Rickettsia,0.4,Directed PCR,5,(White et al. 2019),1 Kentucky,NA
Erigone autumnalis,Linyphiidae,Cardinium,0,Directed PCR,21,(White et al. 2019),1 Kentucky,NA
Erigone autumnalis,Linyphiidae,Wolbachia,0.1,Directed PCR,21,(White et al. 2019),1 Kentucky,NA
Erigone autumnalis,Linyphiidae,Rickettsia,0,Directed PCR,21,(White et al. 2019),1 Kentucky,NA
Florinda coccinea,Linyphiidae,Cardinium,0,Directed PCR,4,(White et al. 2019),1 Kentucky,NA
Florinda coccinea,Linyphiidae,Wolbachia,0,Directed PCR,4,(White et al. 2019),1 Kentucky,NA
Florinda coccinea,Linyphiidae,Rickettsia,0,Directed PCR,4,(White et al. 2019),1 Kentucky,NA
Idionella rugosa,Linyphiidae,Cardinium,1,Directed PCR,75,(White et al. 2019),1 Kentucky,NA
Idionella rugosa,Linyphiidae,Wolbachia,0.84,Directed PCR,75,(White et al. 2019),1 Kentucky,NA
Idionella rugosa,Linyphiidae,Rickettsia,0.27,Directed PCR,75,(White et al. 2019),1 Kentucky,NA
Islandiana flaveola,Linyphiidae,Cardinium,0,Directed PCR,2,(White et al. 2019),1 Kentucky,NA
Islandiana flaveola,Linyphiidae,Wolbachia,0,Directed PCR,2,(White et al. 2019),1 Kentucky,NA
Islandiana flaveola,Linyphiidae,Rickettsia,0,Directed PCR,2,(White et al. 2019),1 Kentucky,NA
Mermessus sp. 1,Linyphiidae,Cardinium,0,Directed PCR,25,(White et al. 2019),1 Kentucky,NA
Mermessus sp. 1,Linyphiidae,Wolbachia,0.96,Directed PCR,25,(White et al. 2019),1 Kentucky,NA
Mermessus sp. 1,Linyphiidae,Rickettsia,0.08,Directed PCR,25,(White et al. 2019),1 Kentucky,NA
Mermessus tridentatus,Linyphiidae,Cardinium,0,Directed PCR,1,(White et al. 2019),1 Kentucky,NA
Mermessus tridentatus,Linyphiidae,Wolbachia,1,Directed PCR,1,(White et al. 2019),1 Kentucky,NA
Mermessus tridentatus,Linyphiidae,Rickettsia,1,Directed PCR,1,(White et al. 2019),1 Kentucky,NA
Mermessus trilobatus,Linyphiidae,Cardinium,0.02,Directed PCR,66,(White et al. 2019),1 Kentucky,NA
Mermessus trilobatus,Linyphiidae,Wolbachia,0.2,Directed PCR,66,(White et al. 2019),1 Kentucky,NA
Mermessus trilobatus,Linyphiidae,Rickettsia,0.68,Directed PCR,66,(White et al. 2019),1 Kentucky,NA
Tennesseellum formica,Linyphiidae,Cardinium,0,Directed PCR,20,(White et al. 2019),1 Kentucky,NA
Tennesseellum formica,Linyphiidae,Wolbachia,0.05,Directed PCR,20,(White et al. 2019),1 Kentucky,NA
Tennesseellum formica,Linyphiidae,Rickettsia,0,Directed PCR,20,(White et al. 2019),1 Kentucky,NA
Walckenaeria microspiralis,Linyphiidae,Cardinium,1,Directed PCR,1,(White et al. 2019),1 Kentucky,NA
Walckenaeria microspiralis,Linyphiidae,Wolbachia,1,Directed PCR,1,(White et al. 2019),1 Kentucky,NA
Walckenaeria microspiralis,Linyphiidae,Rickettsia,0,Directed PCR,1,(White et al. 2019),1 Kentucky,NA
Glenognatha foxi,Tetragnathidae,Cardinium,0,Directed PCR,20,(White et al. 2019),1 Kentucky,NA
Glenognatha foxi,Tetragnathidae,Wolbachia,0.3,Directed PCR,20,(White et al. 2019),1 Kentucky,NA
Glenognatha foxi,Tetragnathidae,Rickettsia,0,Directed PCR,20,(White et al. 2019),1 Kentucky,NA
Oxyopes salticus,Oxyopidae,Cardinium,0,Directed PCR,10,(White et al. 2019),1 Kentucky,NA
Oxyopes salticus,Oxyopidae,Wolbachia,0.35,Directed PCR,10,(White et al. 2019),1 Kentucky,NA
Oxyopes salticus,Oxyopidae,Rickettsia,0,Directed PCR,10,(White et al. 2019),1 Kentucky,NA
Argiope bruennichi,Araneidae,Wolbachia,0,Full16s,6,(Sheffer et al. 2020),2 Germany(1) Estonia(1),NA
Argiope bruennichi,Araneidae,Rickettsia,0,Full16s,6,(Sheffer et al. 2020),2 Germany(1) Estonia(1),NA
Argiope bruennichi,Araneidae,Cardinium,0,Full16s,6,(Sheffer et al. 2020),2 Germany(1) Estonia(1),NA
